package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.omar.musica.songs.ui.SearchScreen,SearchScreen,1,1,1,0,0,0,1,0,2,5,
com.omar.musica.songs.ui.SearchScreen,SearchScreen,1,1,1,0,0,0,0,0,1,8,
com.omar.musica.songs.ui.EmptyQueryScreen,EmptyQueryScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.songs.ui.NoResultsScreen,NoResultsScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.songs.ui.IconWithTextScreen,IconWithTextScreen,1,1,1,0,0,0,0,0,1,1,
com.omar.musica.songs.ui.SongsScreen,SongsScreen,1,1,1,0,0,0,1,0,2,3,
com.omar.musica.songs.ui.SongsScreen,SongsScreen,1,1,1,0,0,0,0,0,1,7,
com.omar.musica.songs.ui.SortChip,SortChip,1,1,1,0,0,0,0,0,2,3,
com.omar.musica.songs.ui.SortOptionsDialog,SortOptionsDialog,1,1,1,0,0,0,0,0,1,1,
